Year,Release.Date,Movie,ProductionBudget,WorldwideGross,Escalation,EscBudget,EscalatedGross
1991,7/2/1991,Terminator 2: Judgment Day,100000000,513815401,1.740212922,174021292.2,894148200.4
1994,7/15/1994,True Lies,100000000,365291539,1.599304993,159930499.3,584212582.3
1995,6/16/1995,Batman Forever,100000000,336495936,1.555229659,155522965.9,523328459.7
1995,7/28/1995,Waterworld,175000000,264214660,1.555229659,272165190.3,410914475.5
1996,6/21/1996,Eraser,100000000,234387469,1.510624602,151062460.2,354071477
1996,6/21/1996,The Hunchback of Notre Dame,100000000,325478752,1.510624602,151062460.2,491676210.1
1997,2/7/1997,Dante's Peak,115000000,178191885,1.476741433,169825264.8,263143339.6
1997,6/13/1997,Speed II: Cruise Control,110000000,150439315,1.476741433,162441557.6,222159969.6
1997,6/20/1997,Batman & Robin,125000000,238300947,1.476741433,184592679.1,351908882
1997,12/19/1997,Titanic,200000000,2207615668,1.476741433,295348286.6,3260077525
1997,12/19/1997,Tomorrow Never Dies,110000000,339479326,1.476741433,162441557.6,501323186.4
1998,5/19/1998,Godzilla,125000000,375827709,1.454092025,181761503.1,546488074.3
1998,7/1/1998,Armageddon,140000000,554595209,1.454092025,203572883.4,806432470.3
1998,7/10/1998,Lethal Weapon 4,140000000,284690200,1.454092025,203572883.4,413965749.3
1999,5/19/1999,Star Wars Ep. I: The Phantom Menace,115000000,1027044677,1.422671068,163607172.9,1461146748
1999,6/16/1999,Tarzan,145000000,448191819,1.422671068,206287304.9,637629534
1999,6/30/1999,Wild Wild West,175000000,221229335,1.422671068,248967437,314736574.4
1999,8/27/1999,The 13th Warrior,125000000,61694788,1.422671068,177833883.6,87771389.96
1999,11/19/1999,The World is Not Enough,135000000,361730660,1.422671068,192060594.2,514623744.5
1999,11/24/1999,End of Days,100000000,212026975,1.422671068,142267106.8,301644643.1
1999,12/17/1999,Stuart Little,105000000,298815224,1.422671068,149380462.2,425115774
2000,5/5/2000,Gladiator,103000000,457683805,1.376405343,141769750.3,629958434.4
2000,5/19/2000,Dinosaur,127500000,356148063,1.376405343,175491681.2,490204096.7
2000,5/24/2000,Mission: Impossible 2,120000000,549588516,1.376405343,165168641.1,756456569.7
2000,6/9/2000,Gone in 60 Seconds,103300000,232643008,1.376405343,142182671.9,320211079.1
2000,6/28/2000,The Patriot,110000000,215300000,1.376405343,151404587.7,296340070.3
2000,6/30/2000,The Perfect Storm,120000000,328711434,1.376405343,165168641.1,452440173.9
2000,11/17/2000,How the Grinch Stole Christmas,123000000,345141403,1.376405343,169297857.1,475054471.1
2000,12/15/2000,The Emperor's New Groove,100000000,169296573,1.376405343,137640534.3,233020707.6
2001,4/27/2001,Town & Country,105000000,10364769,1.338322981,140523913,13871408.55
2001,5/25/2001,Pearl Harbor,151500000,449239855,1.338322981,202755931.7,601228022.1
2001,7/11/2001,Final Fantasy: The Spirits Within,137000000,85131830,1.338322981,183350248.4,113933884.5
2001,7/27/2001,Planet of the Apes,100000000,362211740,1.338322981,133832298.1,484756295.8
2001,11/2/2001,"Monsters, Inc.",115000000,559757719,1.338322981,153907142.9,749136619.3
2001,11/16/2001,Harry Potter and the Sorcerer?s Stone,125000000,974755371,1.338322981,167290372.7,1304537514
2001,12/19/2001,The Lord of the Rings: The Fellowship of the Ring,109000000,887217688,1.338322981,145877205,1187383821
2001,12/25/2001,Ali,109000000,87683966,1.338322981,145877205,117349466.8
2002,5/3/2002,Spider-Man,139000000,821706375,1.317493052,183131534.2,1082592440
2002,5/16/2002,Star Wars Ep. II: Attack of the Clones,115000000,648200000,1.317493052,151511700.9,853998996.1
2002,6/14/2002,Windtalkers,115000000,77628265,1.317493052,151511700.9,102274699.8
2002,6/21/2002,Minority Report,102000000,358824714,1.317493052,134384291.3,472749067.5
2002,7/3/2002,Men in Black 2,140000000,441767803,1.317493052,184449027.2,582026010.9
2002,7/19/2002,Stuart Little 2,120000000,165779308,1.317493052,158099166.2,218413086.4
2002,11/15/2002,Harry Potter and the Chamber of Secrets,100000000,878979634,1.317493052,131749305.2,1158049560
2002,11/22/2002,Die Another Day,142000000,431932247,1.317493052,187084013.3,569067734.2
2003,5/2/2003,X2,125000000,407711549,1.28813587,161016983.7,525187870.7
2003,5/15/2003,The Matrix Reloaded,150000000,738576929,1.28813587,193220380.4,951387434.7
2003,6/20/2003,Hulk,137000000,245229234,1.28813587,176474614.1,315888572.6
2003,6/27/2003,Charlie's Angels: Full Throttle,120000000,227200000,1.28813587,154576304.3,292664469.6
2003,7/1/2003,Terminator 3: Rise of the Machines,170000000,433058296,1.28813587,218983097.8,557837924.7
2003,7/9/2003,Pirates of the Caribbean: The Curse of the Black Pearl,125000000,634954103,1.28813587,161016983.7,817907155.6
2003,7/18/2003,Bad Boys II,130000000,272940870,1.28813587,167457663,351584924.9
2003,11/5/2003,The Matrix Revolutions,150000000,427289109,1.28813587,193220380.4,550406428
2003,11/14/2003,Master and Commander: The Far Side of the World,135000000,212912137,1.28813587,173898342.4,274259760.7
2003,11/21/2003,The Cat in the Hat,109000000,133818283,1.28813587,140406809.8,172376130.3
2003,12/5/2003,The Last Samurai,140000000,456810575,1.28813587,180339021.7,588434087.3
